Data,Previsão
2025-01-05,52.14581
2025-01-12,58.606712
2025-01-19,65.82386
2025-01-26,73.44941
2025-02-02,84.3208
2025-02-09,96.49918
2025-02-16,111.120255
2025-02-23,128.3136
2025-03-02,148.3262
2025-03-09,171.67155
2025-03-16,198.71552
2025-03-23,229.93843
2025-03-30,265.81363
2025-04-06,306.7999
2025-04-13,353.32825
2025-04-20,405.74716
2025-04-27,464.28046
2025-05-04,528.9654
2025-05-11,599.58496
2025-05-18,675.5999
2025-05-25,756.08734
2025-06-01,839.70233
2025-06-08,924.67706
2025-06-15,1008.87585
2025-06-22,1089.9137
2025-06-29,1165.341
2025-07-06,1232.8739
2025-07-13,1290.6372
2025-07-20,1337.3744
2025-07-27,1372.5808
2025-08-03,1396.5306
2025-08-10,1410.196
2025-08-17,1415.0802
2025-08-24,1413.0046
2025-08-31,1405.891
2025-09-07,1395.5753
2025-09-14,1383.673
2025-09-21,1371.498
2025-09-28,1360.0365
2025-10-05,1349.9557
2025-10-12,1341.6393
2025-10-19,1335.2373
2025-10-26,1330.7196
2025-11-02,1327.9266
2025-11-09,1326.6179
2025-11-16,1326.5088
2025-11-23,1327.3035
2025-11-30,1328.7175
2025-12-07,1330.4951
2025-12-14,1332.4197
2025-12-21,1334.3181
2025-12-28,1336.0629
2026-01-04,1337.5693
2026-01-11,1338.7905
2026-01-18,1339.7117
2026-01-25,1340.343
2026-02-01,1340.7126
2026-02-08,1340.8604
2026-02-15,1340.8318
2026-02-22,1340.6733
2026-03-01,1340.4293
2026-03-08,1340.1388
2026-03-15,1339.8345
2026-03-22,1339.5414
2026-03-29,1339.2777
2026-04-05,1339.0546
2026-04-12,1338.8778
2026-04-19,1338.7482
2026-04-26,1338.6628
2026-05-03,1338.6168
2026-05-10,1338.6036
2026-05-17,1338.6152
2026-05-24,1338.6454
2026-05-31,1338.6868
2026-06-07,1338.7338
2026-06-14,1338.782
2026-06-21,1338.8269
2026-06-28,1338.8668
2026-07-05,1338.8998
2026-07-12,1338.9253
2026-07-19,1338.9434
2026-07-26,1338.9546
2026-08-02,1338.9602
2026-08-09,1338.9608
2026-08-16,1338.9578
2026-08-23,1338.9523
2026-08-30,1338.9453
2026-09-06,1338.9377
2026-09-13,1338.9305
2026-09-20,1338.9236
2026-09-27,1338.9177
2026-10-04,1338.9128
2026-10-11,1338.909
2026-10-18,1338.9064
2026-10-25,1338.9049
2026-11-01,1338.904
2026-11-08,1338.9042
2026-11-15,1338.9047
2026-11-22,1338.9058
2026-11-29,1338.9069
2026-12-06,1338.9082
2026-12-13,1338.9093
2026-12-20,1338.9103
2026-12-27,1338.9113
2027-01-03,1338.9117
2027-01-10,1338.9124
